Year,Performing/Funding,Country,Region,Sector,Source,Source sub-category,Product group,Unit measure,Observation status,Unit multiplier,GeoCode,Value
2007,Performing research and development,,,,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),Undefined,Units,,0.003377594693735008
2007,Performing research and development,,,,,,Refined petroleum products and coke oven products,Percentage (%),Undefined,Units,,0.017461527284592306
2007,Performing research and development,,,,,,Chemicals and chemical products,Percentage (%),Undefined,Units,,0.04257043878141482
2007,Performing research and development,,,,,,Pharmaceuticals,Percentage (%),Undefined,Units,,0.2507704739593822
2007,Performing research and development,,,,,,Rubber and plastic products,Percentage (%),Undefined,Units,,0.0050345279397182195
2007,Performing research and development,,,,,,Other non-metallic mineral products,Percentage (%),Undefined,Units,,0.003058953684892083
2007,Performing research and development,,,,,,Casting of iron and steel,Percentage (%),Undefined,Units,,
2007,Performing research and development,,,,,,Non-ferrous metals,Percentage (%),Undefined,Units,,
2007,Performing research and development,,,,,,Fabricated metal products except machinery and equipment,Percentage (%),Undefined,Units,,0.0057992663609412395
2007,Performing research and development,,,,,,Machinery and equipment,Percentage (%),Undefined,Units,,0.06583123242694837
2007,Performing research and development,,,,,,Computers and peripheral equipment,Percentage (%),Undefined,Units,,0.0052894407467925595
2007,Performing research and development,,,,,,Electrical equipment,Percentage (%),Undefined,Units,,0.034859326367416024
2007,Performing research and development,,,,,,Consumer electronics and communication equipment,Percentage (%),Undefined,Units,,0.04250671057964623
2007,Performing research and development,,,,,,Precision instruments and optical products; photographic equipment,Percentage (%),Undefined,Units,,0.03466814176211027
2007,Performing research and development,,,,,,Motor vehicles and parts,Percentage (%),Undefined,Units,,0.059458412250089854
2007,Performing research and development,,,,,,Other transport equipment,Percentage (%),Undefined,Units,,0.0017843896495203816
2007,Performing research and development,,,,,,Shipbuilding,Percentage (%),Undefined,Units,,0.008667035440527568
2007,Performing research and development,,,,,,Aerospace,Percentage (%),Undefined,Units,,0.13191737766097106
2007,Performing research and development,,,,,,Other manufactured goods,Percentage (%),Undefined,Units,,0.0017206614477517966
2007,Performing research and development,,,,,,"Electricity, gas and water supply; Waste management 6",Percentage (%),Undefined,Units,,0.0022304870619004767
2007,Performing research and development,,,,,,Construction,Percentage (%),Undefined,Units,,
2007,Performing research and development,,,,,,Wholesale and retail trade,Percentage (%),Undefined,Units,,0.002357943465437647
2007,Performing research and development,,,,,,"Transport and storage, incl. postal and courier activities",Percentage (%),Undefined,Units,,0.0013382922371402862
2007,Performing research and development,,,,,,Telecommunications,Percentage (%),Undefined,Units,,0.09782278971477806
2007,Performing research and development,,,,,,Miscellaneous business activities; Technical testing and analysis,Percentage (%),Undefined,Units,,0.032501382901978376
2007,Performing research and development,,,,,,Computer programming and information service activities 7,Percentage (%),Undefined,Units,,0.09546484624934042
2007,Performing research and development,,,,,,Software development 7,Percentage (%),Undefined,Units,,
2007,Performing research and development,,,,,,Research and development services,Percentage (%),Undefined,Units,,0.009941599475899269
2007,Performing research and development,,,,,,Public administration,Percentage (%),Undefined,Units,,0.0065640047821642605
2007,Performing research and development,England,North West,Government,,,,Percentage (%),Undefined,Units,E12000002,0.0057992663609412395
2007,Performing research and development,England,North West,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000002,0.03288375211258989
2007,Performing research and development,England,North West,Business,,,,Percentage (%),Undefined,Units,E12000002,0.12879469577431038
2007,Performing research and development,England,North West,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000002,
2007,Performing research and development,England,North West,Total,,,,Percentage (%),Undefined,Units,E12000002,
2007,Performing research and development,England,North East,Government,,,,Percentage (%),Undefined,Units,E12000001,6.372820176858506e-05
2007,Performing research and development,England,North East,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000001,0.012745640353717011
2007,Performing research and development,England,North East,Business,,,,Percentage (%),Undefined,Units,E12000001,0.021094034785401655
2007,Performing research and development,England,North East,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000001,
2007,Performing research and development,England,North East,Total,,,,Percentage (%),Undefined,Units,E12000001,
2007,Performing research and development,England,Yorkshire and the Humber,Government,,,,Percentage (%),Undefined,Units,,0.003377594693735008
2007,Performing research and development,England,Yorkshire and the Humber,"Higher
Education",,,,Percentage (%),Undefined,Units,,0.028295321585251762
2007,Performing research and development,England,Yorkshire and the Humber,Business,,,,Percentage (%),Undefined,Units,,0.02778549597110308
2007,Performing research and development,England,Yorkshire and the Humber,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,,
2007,Performing research and development,England,Yorkshire and the Humber,Total,,,,Percentage (%),Undefined,Units,,
2007,Performing research and development,England,East Midlands,Government,,,,Percentage (%),Undefined,Units,E12000004,0.00567180995740407
2007,Performing research and development,England,East Midlands,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000004,0.017971352898740987
2007,Performing research and development,England,East Midlands,Business,,,,Percentage (%),Undefined,Units,E12000004,0.06767935027823734
2007,Performing research and development,England,East Midlands,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000004,
2007,Performing research and development,England,East Midlands,Total,,,,Percentage (%),Undefined,Units,E12000004,
2007,Performing research and development,England,West Midlands,Government,,,,Percentage (%),Undefined,Units,E12000005,0.0014657486406774562
2007,Performing research and development,England,West Midlands,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000005,0.01879981952173259
2007,Performing research and development,England,West Midlands,Business,,,,Percentage (%),Undefined,Units,E12000005,0.06340956075974212
2007,Performing research and development,England,West Midlands,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000005,
2007,Performing research and development,England,West Midlands,Total,,,,Percentage (%),Undefined,Units,E12000005,
2007,Performing research and development,England,East of England,Government,,,,Percentage (%),Undefined,Units,E12000006,0.023770619259682227
2007,Performing research and development,England,East of England,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000006,0.03231019829667262
2007,Performing research and development,England,East of England,Business,,,,Percentage (%),Undefined,Units,E12000006,0.2544029814601916
2007,Performing research and development,England,East of England,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000006,
2007,Performing research and development,England,East of England,Total,,,,Percentage (%),Undefined,Units,E12000006,
2007,Performing research and development,England,London,Government,,,,Percentage (%),Undefined,Units,E12000007,0.018991004127038347
2007,Performing research and development,England,London,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000007,0.0904303183096222
2007,Performing research and development,England,London,Business,,,,Percentage (%),Undefined,Units,E12000007,0.06799799128708026
2007,Performing research and development,England,London,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000007,
2007,Performing research and development,England,London,Total,,,,Percentage (%),Undefined,Units,E12000007,
2007,Performing research and development,England,South East,Government,,,,Percentage (%),Undefined,Units,E12000008,0.04626667448399275
2007,Performing research and development,England,South East,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000008,0.051811028037859655
2007,Performing research and development,England,South East,Business,,,,Percentage (%),Undefined,Units,E12000008,0.22400462921657646
2007,Performing research and development,England,South East,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000008,
2007,Performing research and development,England,South East,Total,,,,Percentage (%),Undefined,Units,E12000008,
2007,Performing research and development,England,South West,Government,,,,Percentage (%),Undefined,Units,E12000009,0.01956455794295561
2007,Performing research and development,England,South West,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000009,0.017206614477517965
2007,Performing research and development,England,South West,Business,,,,Percentage (%),Undefined,Units,E12000009,0.07832195997359104
2007,Performing research and development,England,South West,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000009,
2007,Performing research and development,England,South West,Total,,,,Percentage (%),Undefined,Units,E12000009,
2007,Performing research and development,England,,Government,,,,Percentage (%),Undefined,Units,E92000001,0.12497100366819529
2007,Performing research and development,England,,"Higher
Education",,,,Percentage (%),Undefined,Units,E92000001,0.3024540455937047
2007,Performing research and development,England,,Business,,,,Percentage (%),Undefined,Units,E92000001,0.9335544277080025
2007,Performing research and development,England,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E92000001,
2007,Performing research and development,England,,Total,,,,Percentage (%),Undefined,Units,E92000001,
2007,Performing research and development,Wales,,Government,,,,Percentage (%),Undefined,Units,W92000004,0.0028040408778177424
2007,Performing research and development,Wales,,"Higher
Education",,,,Percentage (%),Undefined,Units,W92000004,0.014530030003237392
2007,Performing research and development,Wales,,Business,,,,Percentage (%),Undefined,Units,W92000004,0.0196282861447242
2007,Performing research and development,Wales,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,W92000004,
2007,Performing research and development,Wales,,Total,,,,Percentage (%),Undefined,Units,W92000004,
2007,Performing research and development,Scotland,,Government,,,,Percentage (%),Undefined,Units,S92000003,0.020966578381864484
2007,Performing research and development,Scotland,,"Higher
Education",,,,Percentage (%),Undefined,Units,S92000003,0.047859879528207375
2007,Performing research and development,Scotland,,Business,,,,Percentage (%),Undefined,Units,S92000003,0.03460441356034168
2007,Performing research and development,Scotland,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,S92000003,
2007,Performing research and development,Scotland,,Total,,,,Percentage (%),Undefined,Units,S92000003,
2007,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),Undefined,Units,N92000002,0.0012745640353717012
2007,Performing research and development,Northern Ireland,,"Higher
Education",,,,Percentage (%),Undefined,Units,N92000002,0.008603307238758982
2007,Performing research and development,Northern Ireland,,Business,,,,Percentage (%),Undefined,Units,N92000002,0.011279891713039555
2007,Performing research and development,Northern Ireland,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,N92000002,
2007,Performing research and development,Northern Ireland,,Total,,,,Percentage (%),Undefined,Units,N92000002,
2008,Performing research and development,,,Government,,,,Percentage (%),Undefined,Units,,0.08564842465353052
2008,Performing research and development,,,UK Research & Innovation,,,,Percentage (%),Undefined,Units,,0.06614244070053803
2008,Performing research and development,,,Business Enterprise,,,,Percentage (%),Undefined,Units,,1.0047805545036586
2008,Performing research and development,,,Higher Education,,,,Percentage (%),Undefined,Units,,0.3985066167855663
2008,Performing research and development,,,Private Non-Profit,,,,Percentage (%),Undefined,Units,,0.037804757172737874
2008,Funding research and development,,,Total expenditure,,,,Percentage (%),Undefined,Units,,1.5930098686300571
2008,Funding research and development,,,Government,,,,Percentage (%),Undefined,Units,,0.17174161115615208
2008,Funding research and development,,,UK Research & Innovation,,,,Percentage (%),Undefined,Units,,0.17568093039095836
2008,Funding research and development,,,Higher Education Funding Councils,,,,Percentage (%),Undefined,Units,,0.14149780541796178
2008,Funding research and development,,,Business Enterprise,,,,Percentage (%),Undefined,Units,,0.7313790921266987
2008,Funding research and development,,,Higher Education,,,,Percentage (%),Undefined,Units,,0.0019061222103901453
2008,Funding research and development,,,Private Non-Profit,,,,Percentage (%),Undefined,Units,,0.07923114654521703
2008,Funding research and development,,,Overseas,,,,Percentage (%),Undefined,Units,,0.2915731607826792
2008,Funding research and development,,,,UK Government,,,Percentage (%),Undefined,Units,,0.07211495695976049
2008,Funding research and development,,,,Overseas total,,,Percentage (%),Undefined,Units,,0.236422691495391
2008,Funding research and development,,,,,European Commission grants,,Percentage (%),Undefined,Units,,0.002986258129611227
2008,Funding research and development,,,,,Other Overseas,,Percentage (%),Undefined,Units,,0.2334364333657798
2008,Funding research and development,,,,Other UK Business,,,Percentage (%),Undefined,Units,,0.05495985706624919
2008,Funding research and development,,,,Own funds,,,Percentage (%),Undefined,Units,,0.6408382871331668
2008,Funding research and development,,,,Other,,,Percentage (%),Undefined,Units,,0.00044476184909103387
2008,Performing research and development,,,,,,"Agriculture, hunting and forestry; Fishing",Percentage (%),Undefined,Units,,0.005591291817144425
2008,Performing research and development,,,,,,Extractive Industries,Percentage (%),Undefined,Units,,0.005718366631170435
2008,Performing research and development,,,,,,Food products and beverages; Tobacco products,Percentage (%),Undefined,Units,,0.019251834324940466
2008,Performing research and development,,,,,,"Textiles, clothing and leather products",Percentage (%),Undefined,Units,,0.0009530611051950727
2008,Performing research and development,,,,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),Undefined,Units,,0.003558094792728271
2008,Performing research and development,,,,,,Refined petroleum products and coke oven products,Percentage (%),Undefined,Units,,0.005972516259222454
2008,Performing research and development,,,,,,Chemicals and chemical products,Percentage (%),Undefined,Units,,0.04002856641819305
2008,Performing research and development,,,,,,Pharmaceuticals,Percentage (%),Undefined,Units,,0.27664187013462305
2008,Performing research and development,,,,,,Rubber and plastic products,Percentage (%),Undefined,Units,,0.004955917747014377
2008,Performing research and development,,,,,,Other non-metallic mineral products,Percentage (%),Undefined,Units,,0.003367482571689256
2008,Performing research and development,,,,,,Casting of iron and steel,Percentage (%),Undefined,Units,,0.002986258129611227
2008,Performing research and development,,,,,,Non-ferrous metals,Percentage (%),Undefined,Units,,0.004574693304936348
2008,Performing research and development,,,,,,Fabricated metal products except machinery and equipment,Percentage (%),Undefined,Units,,0.004638230711949353
2008,Performing research and development,,,,,,Machinery and equipment,Percentage (%),Undefined,Units,,0.05019455154027382
2008,Performing research and development,,,,,,Computers and peripheral equipment,Percentage (%),Undefined,Units,,0.007815101062599595
2008,Performing research and development,,,,,,Electrical equipment,Percentage (%),Undefined,Units,,0.036661083846503795
2008,Performing research and development,,,,,,Consumer electronics and communication equipment,Percentage (%),Undefined,Units,,0.044476184909103385
2008,Performing research and development,,,,,,Precision instruments and optical products; photographic equipment,Percentage (%),Undefined,Units,,0.03755060754468586
2008,Performing research and development,,,,,,Motor vehicles and parts,Percentage (%),Undefined,Units,,0.0734492425070336
2008,Performing research and development,,,,,,Other transport equipment,Percentage (%),Undefined,Units,,0.0019061222103901453
2008,Performing research and development,,,,,,Shipbuilding,Percentage (%),Undefined,Units,,0.009975372901041758
2008,Performing research and development,,,,,,Aerospace,Percentage (%),Undefined,Units,,0.11004678894652438
2008,Performing research and development,,,,,,Other manufactured goods,Percentage (%),Undefined,Units,,0.002287346652468174
2008,Performing research and development,,,,,,"Electricity, gas and water supply; Waste management 6",Percentage (%),Undefined,Units,,0.0025414962805201933
2008,Performing research and development,,,,,,Construction,Percentage (%),Undefined,Units,,0.0013342855472731016
2008,Performing research and development,,,,,,Wholesale and retail trade,Percentage (%),Undefined,Units,,0.0047017681189623585
2008,Performing research and development,,,,,,"Transport and storage, incl. postal and courier activities",Percentage (%),Undefined,Units,,0.000762448884156058
2008,Performing research and development,,,,,,Telecommunications,Percentage (%),Undefined,Units,,0.08920651944625879
2008,Performing research and development,,,,,,Miscellaneous business activities; Technical testing and analysis,Percentage (%),Undefined,Units,,0.031387479064424385
2008,Performing research and development,,,,,,Computer programming and information service activities 7,Percentage (%),Undefined,Units,,0.09308230127405209
2008,Performing research and development,,,,,,Software development 7,Percentage (%),Undefined,Units,,
2008,Performing research and development,,,,,,Research and development services,Percentage (%),Undefined,Units,,0.024398364292993857
2008,Performing research and development,,,,,,Public administration,Percentage (%),Undefined,Units,,0.0045111558979233435
2008,Performing research and development,England,North West,Government,,,,Percentage (%),Undefined,Units,E12000002,0.0052736047820794016
2008,Performing research and development,England,North West,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000002,0.033674825716892565
2008,Performing research and development,England,North West,Business,,,,Percentage (%),Undefined,Units,E12000002,0.1353346769377003
2008,Performing research and development,England,North West,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000002,
2008,Performing research and development,England,North West,Total,,,,Percentage (%),Undefined,Units,E12000002,
2008,Performing research and development,England,North East,Government,,,,Percentage (%),Undefined,Units,E12000001,0.00012707481402600968
2008,Performing research and development,England,North East,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000001,0.013342855472731015
2008,Performing research and development,England,North East,Business,,,,Percentage (%),Undefined,Units,E12000001,0.02020489543013554
2008,Performing research and development,England,North East,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000001,
2008,Performing research and development,England,North East,Total,,,,Percentage (%),Undefined,Units,E12000001,
2008,Performing research and development,England,Yorkshire and the Humber,Government,,,,Percentage (%),Undefined,Units,,0.0036216321997412757
2008,Performing research and development,England,Yorkshire and the Humber,"Higher
Education",,,,Percentage (%),Undefined,Units,,0.029036595004943207
2008,Performing research and development,England,Yorkshire and the Humber,Business,,,,Percentage (%),Undefined,Units,,0.027511697236631095
2008,Performing research and development,England,Yorkshire and the Humber,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,,
2008,Performing research and development,England,Yorkshire and the Humber,Total,,,,Percentage (%),Undefined,Units,,
2008,Performing research and development,England,East Midlands,Government,,,,Percentage (%),Undefined,Units,E12000004,0.005972516259222454
2008,Performing research and development,England,East Midlands,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000004,0.019950745802083517
2008,Performing research and development,England,East Midlands,Business,,,,Percentage (%),Undefined,Units,E12000004,0.06201250924469272
2008,Performing research and development,England,East Midlands,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000004,
2008,Performing research and development,England,East Midlands,Total,,,,Percentage (%),Undefined,Units,E12000004,
2008,Performing research and development,England,West Midlands,Government,,,,Percentage (%),Undefined,Units,E12000005,0.0001906122210390145
2008,Performing research and development,England,West Midlands,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000005,0.019887208395070514
2008,Performing research and development,England,West Midlands,Business,,,,Percentage (%),Undefined,Units,E12000005,0.05629414261352229
2008,Performing research and development,England,West Midlands,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000005,
2008,Performing research and development,England,West Midlands,Total,,,,Percentage (%),Undefined,Units,E12000005,
2008,Performing research and development,England,East of England,Government,,,,Percentage (%),Undefined,Units,E12000006,0.02503373836312391
2008,Performing research and development,England,East of England,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000006,0.03405605015897059
2008,Performing research and development,England,East of England,Business,,,,Percentage (%),Undefined,Units,E12000006,0.26571343612838627
2008,Performing research and development,England,East of England,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000006,
2008,Performing research and development,England,East of England,Total,,,,Percentage (%),Undefined,Units,E12000006,
2008,Performing research and development,England,London,Government,,,,Percentage (%),Undefined,Units,E12000007,0.01944244654597948
2008,Performing research and development,England,London,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000007,0.09556026014755926
2008,Performing research and development,England,London,Business,,,,Percentage (%),Undefined,Units,E12000007,0.07046298437742236
2008,Performing research and development,England,London,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000007,
2008,Performing research and development,England,London,Total,,,,Percentage (%),Undefined,Units,E12000007,
2008,Performing research and development,England,South East,Government,,,,Percentage (%),Undefined,Units,E12000008,0.0485425789579357
2008,Performing research and development,England,South East,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000008,0.056039992985470265
2008,Performing research and development,England,South East,Business,,,,Percentage (%),Undefined,Units,E12000008,0.22022065270707478
2008,Performing research and development,England,South East,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000008,
2008,Performing research and development,England,South East,Total,,,,Percentage (%),Undefined,Units,E12000008,
2008,Performing research and development,England,South West,Government,,,,Percentage (%),Undefined,Units,E12000009,0.022682854303642724
2008,Performing research and development,England,South West,"Higher
Education",,,,Percentage (%),Undefined,Units,E12000009,0.01931537173195347
2008,Performing research and development,England,South West,Business,,,,Percentage (%),Undefined,Units,E12000009,0.08545781243249151
2008,Performing research and development,England,South West,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E12000009,
2008,Performing research and development,England,South West,Total,,,,Percentage (%),Undefined,Units,E12000009,
2008,Performing research and development,England,,Government,,,,Percentage (%),Undefined,Units,E92000001,0.13082352103977696
2008,Performing research and development,England,,"Higher
Education",,,,Percentage (%),Undefined,Units,E92000001,0.3208003680086614
2008,Performing research and development,England,,Business,,,,Percentage (%),Undefined,Units,E92000001,0.9433398819220827
2008,Performing research and development,England,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,E92000001,
2008,Performing research and development,England,,Total,,,,Percentage (%),Undefined,Units,E92000001,
2008,Performing research and development,Wales,,Government,,,,Percentage (%),Undefined,Units,W92000004,0.0013342855472731016
2008,Performing research and development,Wales,,"Higher
Education",,,,Percentage (%),Undefined,Units,W92000004,0.014486528798965103
2008,Performing research and development,Wales,,Business,,,,Percentage (%),Undefined,Units,W92000004,0.015439589904160176
2008,Performing research and development,Wales,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,W92000004,
2008,Performing research and development,Wales,,Total,,,,Percentage (%),Undefined,Units,W92000004,
2008,Performing research and development,Scotland,,Government,,,,Percentage (%),Undefined,Units,S92000003,0.01848938544078441
2008,Performing research and development,Scotland,,"Higher
Education",,,,Percentage (%),Undefined,Units,S92000003,0.05426094558910613
2008,Performing research and development,Scotland,,Business,,,,Percentage (%),Undefined,Units,S92000003,0.03519972348520468
2008,Performing research and development,Scotland,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,S92000003,
2008,Performing research and development,Scotland,,Total,,,,Percentage (%),Undefined,Units,S92000003,
2008,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),Undefined,Units,N92000002,0.001207210733247092
2008,Performing research and development,Northern Ireland,,"Higher
Education",,,,Percentage (%),Undefined,Units,N92000002,0.008958774388833681
2008,Performing research and development,Northern Ireland,,Business,,,,Percentage (%),Undefined,Units,N92000002,0.010864896599223827
2008,Performing research and development,Northern Ireland,,"Private
Non-Profit",,,,Percentage (%),Undefined,Units,N92000002,
2008,Performing research and development,Northern Ireland,,Total,,,,Percentage (%),Undefined,Units,N92000002,
2009,Performing research and development,,,Government,,,,Percentage (%),Undefined,Units,,0.09028545229094519
2009,Performing research and development,,,UK Research & Innovation,,,,Percentage (%),Undefined,Units,,0.070443201396278
2009,Performing research and development,,,Business Enterprise,,,,Percentage (%),Undefined,Units,,0.997378125876928
2009,Performing research and development,,,Higher Education,,,,Percentage (%),Undefined,Units,,0.42638364382068
2009,Performing research and development,,,Private Non-Profit,,,,Percentage (%),Undefined,Units,,0.04276679319044772
2009,Funding research and development,,,Total expenditure,,,,Percentage (%),Undefined,Units,,1.627257216575279
2009,Funding research and development,,,Government,,,,Percentage (%),Undefined,Units,,0.18872613391400278
2009,Funding research and development,,,UK Research & Innovation,,,,Percentage (%),Undefined,Units,,0.18673548738411708
2009,Funding research and development,,,Higher Education Funding Councils,,,,Percentage (%),Undefined,Units,,0.15379349803471817
2009,Funding research and development,,,Business Enterprise,,,,Percentage (%),Undefined,Units,,0.7296040604052058
2009,Funding research and development,,,Higher Education,,,,Percentage (%),Undefined,Units,,0.0014769312963668134
2009,Funding research and development,,,Private Non-Profit,,,,Percentage (%),Undefined,Units,,0.08213022295883278
2009,Funding research and development,,,Overseas,,,,Percentage (%),Undefined,Units,,0.28485509698622535
2009,Funding research and development,,,,UK Government,,,Percentage (%),Undefined,Units,,0.08501987114737655
2009,Funding research and development,,,,Overseas total,,,Percentage (%),Undefined,Units,,0.22205340968854087
2009,Funding research and development,,,,,European Commission grants,,Percentage (%),Undefined,Units,,0.003018076996923488
2009,Funding research and development,,,,,Other Overseas,,Percentage (%),Undefined,Units,,0.21903533269161737
2009,Funding research and development,,,,Other UK Business,,,Percentage (%),Undefined,Units,,0.04482165412452328
2009,Funding research and development,,,,Own funds,,,Percentage (%),Undefined,Units,,0.645162118895538
2009,Funding research and development,,,,Other,,,Percentage (%),Undefined,Units,,0.0002568576167594458
2009,Performing research and development,,,,,,"Agriculture, hunting and forestry; Fishing",Percentage (%),Undefined,Units,,
2009,Performing research and development,,,,,,Extractive Industries,Percentage (%),Undefined,Units,,0.008990016586580602
2009,Performing research and development,,,,,,Food products and beverages; Tobacco products,Percentage (%),Undefined,Units,,0.018622177215059817
2009,Performing research and development,,,,,,"Textiles, clothing and leather products",Percentage (%),Undefined,Units,,0.0006421440418986144
2009,Performing research and development,,,,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),Undefined,Units,,0.0016695745089363974
2009,Performing research and development,,,,,,Refined petroleum products and coke oven products,Percentage (%),Undefined,Units,,0.006100368398036837
2009,Performing research and development,,,,,,Chemicals and chemical products,Percentage (%),Undefined,Units,,0.03917078655581548
2009,Performing research and development,,,,,,Pharmaceuticals,Percentage (%),Undefined,Units,,0.28408452413594704
2009,Performing research and development,,,,,,Rubber and plastic products,Percentage (%),Undefined,Units,,0.0039812930597714095
2009,Performing research and development,,,,,,Other non-metallic mineral products,Percentage (%),Undefined,Units,,0.0036602210388221026
2009,Performing research and development,,,,,,Casting of iron and steel,Percentage (%),Undefined,Units,,0.0027612193801640423
2009,Performing research and development,,,,,,Non-ferrous metals,Percentage (%),Undefined,Units,,
2009,Performing research and development,,,,,,Fabricated metal products except machinery and equipment,Percentage (%),Undefined,Units,,0.005971939589657115
2009,Performing research and development,,,,,,Machinery and equipment,Percentage (%),Undefined,Units,,0.05605917485774904
2009,Performing research and development,,,,,,Computers and peripheral equipment,Percentage (%),Undefined,Units,,0.009696375032669078
2009,Performing research and development,,,,,,Electrical equipment,Percentage (%),Undefined,Units,,0.037051711217550055
2009,Performing research and development,,,,,,Consumer electronics and communication equipment,Percentage (%),Undefined,Units,,0.035125279091854214
2009,Performing research and development,,,,,,Precision instruments and optical products; photographic equipment,Percentage (%),Undefined,Units,,0.031978773286551
2009,Performing research and development,,,,,,Motor vehicles and parts,Percentage (%),Undefined,Units,,0.06671876595326605
2009,Performing research and development,,,,,,Other transport equipment,Percentage (%),Undefined,Units,,
2009,Performing research and development,,,,,,Shipbuilding,Percentage (%),Undefined,Units,,0.011109091924846031
