Year,Sex,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2017/18,,,Asian/Asian British,Indian,,,,,Undefined,Units,Percentage (%),,61.39216943
2017/18,,,Asian/Asian British,Pakistani,,,,,Undefined,Units,Percentage (%),,62.53960311
2017/18,,,Asian/Asian British,Any other Asian background,,,,,Undefined,Units,Percentage (%),,70.12885334
2017/18,,,Black/African/Caribbean/Black British,,,,,,Undefined,Units,Percentage (%),,76.49473249
2017/18,,,Black/African/Caribbean/Black British,African,,,,,Undefined,Units,Percentage (%),,74.92607511
2017/18,,,Black/African/Caribbean/Black British,Caribbean,,,,,Undefined,Units,Percentage (%),,85.23406325
2017/18,,,Other ethnic group,,,,,,Undefined,Units,Percentage (%),,77.59134016
2017/18,,,Other ethnic group,Any other ethnic group,,,,,Undefined,Units,Percentage (%),,76.27382714
2017/18,,,,,,UK,,,Undefined,Units,Percentage (%),,76.15675162
2017/18,,,,,,Non-UK,,,Undefined,Units,Percentage (%),,70.84039142
2017/18,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,72.13568101
2017/18,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,76.47150371
2017/18,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,77.00300553
2017/18,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,73.37057158
2017/18,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,68.48863783
2017/18,,,,,,,East of England,,Undefined,Units,Percentage (%),E12000006,73.21421362
2017/18,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,72.2907938
2017/18,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,77.7169555
2017/18,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,80.77707118
2017/18,,,,,,,Wales,,Undefined,Units,Percentage (%),W92000004,81.43447067
2018/19,,,,,,,,,Undefined,Units,Percentage (%),,78.41676293
2018/19,Male,,,,,,,,Undefined,Units,Percentage (%),,88.35775145
2018/19,Female,,,,,,,,Undefined,Units,Percentage (%),,68.81072249
2018/19,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,80.26767233
2018/19,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,82.4023391
2018/19,,35 to 44,,,,,,,Undefined,Units,Percentage (%),,79.4084264
2018/19,,45 to 54,,,,,,,Undefined,Units,Percentage (%),,78.86493419
2018/19,,55 to 64,,,,,,,Undefined,Units,Percentage (%),,78.97175331
2018/19,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,73.96338701
2018/19,,75 and over,,,,,,,Undefined,Units,Percentage (%),,71.37582049
2018/19,,,White,,,,,,Undefined,Units,Percentage (%),,78.81217146
2018/19,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Undefined,Units,Percentage (%),,78.75237979
2018/19,,,White,Irish,,,,,Undefined,Units,Percentage (%),,74.98620288
2018/19,,,White,Any other White background,,,,,Undefined,Units,Percentage (%),,79.84218148
2018/19,,,Mixed/Multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,84.75593747
2018/19,,,Asian/Asian British,,,,,,Undefined,Units,Percentage (%),,75.27839954
2018/19,,,Asian/Asian British,Indian,,,,,Undefined,Units,Percentage (%),,73.4639172
2018/19,,,Asian/Asian British,Pakistani,,,,,Undefined,Units,Percentage (%),,74.43152249
2018/19,,,Asian/Asian British,Bangladeshi,,,,,Undefined,Units,Percentage (%),,69.51729881
2018/19,,,Asian/Asian British,Any other Asian background,,,,,Undefined,Units,Percentage (%),,77.96376902
2018/19,,,Black/African/Caribbean/Black British,,,,,,Undefined,Units,Percentage (%),,77.05079735
2018/19,,,Black/African/Caribbean/Black British,African,,,,,Undefined,Units,Percentage (%),,74.0555714
2018/19,,,Black/African/Caribbean/Black British,Caribbean,,,,,Undefined,Units,Percentage (%),,81.39877737
2018/19,,,Other ethnic group,,,,,,Undefined,Units,Percentage (%),,65.92666573
2018/19,,,,,Limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,63.64163117
2018/19,,,,,No limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,81.32498049
2018/19,,,,,,UK,,,Undefined,Units,Percentage (%),,78.54333146
2018/19,,,,,,Non-UK,,,Undefined,Units,Percentage (%),,77.72011442
2018/19,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,74.55468688
2018/19,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,77.24722342
2018/19,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,79.44010746
2018/19,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,79.30637433
2018/19,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,73.39975941
2018/19,,,,,,,East of England,,Undefined,Units,Percentage (%),E12000006,78.2868108
2018/19,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,74.51738342
2018/19,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,81.44575449
2018/19,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,85.00363752
2018/19,,,,,,,Wales,,Undefined,Units,Percentage (%),W92000004,82.50008598
2019/20,,,,,,,,,Undefined,Units,Percentage (%),,77.84645681
2019/20,Male,,,,,,,,Undefined,Units,Percentage (%),,86.83011685
2019/20,Female,,,,,,,,Undefined,Units,Percentage (%),,68.99553805
2019/20,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,80.12869772
2019/20,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,79.5083503
2019/20,,35 to 44,,,,,,,Undefined,Units,Percentage (%),,80.13446166
2019/20,,45 to 54,,,,,,,Undefined,Units,Percentage (%),,79.86600818
2019/20,,55 to 64,,,,,,,Undefined,Units,Percentage (%),,78.17376536
2019/20,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,74.98005119
2019/20,,75 and over,,,,,,,Undefined,Units,Percentage (%),,67.58099569
2019/20,,,White,,,,,,Undefined,Units,Percentage (%),,78.41391708
2019/20,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Undefined,Units,Percentage (%),,78.32918087
2019/20,,,White,Irish,,,,,Undefined,Units,Percentage (%),,77.65466398
2019/20,,,White,Any other White background,,,,,Undefined,Units,Percentage (%),,79.55799806
2019/20,,,Mixed/Multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,77.95501635
2019/20,,,Asian/Asian British,,,,,,Undefined,Units,Percentage (%),,72.29803962
2019/20,,,Asian/Asian British,Indian,,,,,Undefined,Units,Percentage (%),,76.24178897
2019/20,,,Asian/Asian British,Pakistani,,,,,Undefined,Units,Percentage (%),,66.37979335
2019/20,,,Asian/Asian British,Any other Asian background,,,,,Undefined,Units,Percentage (%),,74.18206334
2019/20,,,Black/African/Caribbean/Black British,,,,,,Undefined,Units,Percentage (%),,77.63093545
2019/20,,,Black/African/Caribbean/Black British,African,,,,,Undefined,Units,Percentage (%),,73.43684873
2019/20,,,Black/African/Caribbean/Black British,Caribbean,,,,,Undefined,Units,Percentage (%),,84.01022168
2019/20,,,Other ethnic group,,,,,,Undefined,Units,Percentage (%),,80.2498393
2019/20,,,,,Limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,63.48236933
2019/20,,,,,No limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),,80.61527371
2019/20,,,,,,UK,,,Undefined,Units,Percentage (%),,78.3518626
2019/20,,,,,,Non-UK,,,Undefined,Units,Percentage (%),,75.55396942
2019/20,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,76.9890263
2019/20,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,77.45575887
2019/20,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,75.58187511
2019/20,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,75.89910597
2019/20,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,70.70317133
2019/20,,,,,,,East of England,,Undefined,Units,Percentage (%),E12000006,77.70847619
2019/20,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,75.95050746
2019/20,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,81.60204285
2019/20,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,82.77005562
2019/20,,,,,,,Wales,,Undefined,Units,Percentage (%),W92000004,85.35156907
2019/20,,,,,,,,"Less than £10,400",Undefined,Units,Percentage (%),,66.49974625
2019/20,,,,,,,,"£10,400 to less than £20,800",Undefined,Units,Percentage (%),,71.94108957
2019/20,,,,,,,,"£20,800 to less than £31,200",Undefined,Units,Percentage (%),,73.7668224
2019/20,,,,,,,,"£31,200 to less than £41,600",Undefined,Units,Percentage (%),,80.77645895
2019/20,,,,,,,,"£41,600 to less than £52,000",Undefined,Units,Percentage (%),,81.09606587
2019/20,,,,,,,,"£52,000 or more",Undefined,Units,Percentage (%),,85.8228498
