Year,Units,Series,Waste type,Sector,Household Waste disposal routes,Observation status,Unit measure,Unit multiplier,Value
2017,Kilotonnes,Food and inedible waste,Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Household,,LA collected organics,estimate,Kilotonnes,Thousands,777.0
2007,Kilotonnes,Food and inedible waste,Household,,LA collected other,estimate,Kilotonnes,Thousands,146.0
2009,Kilotonnes,Food and inedible waste,Household,,LA collected other,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Household,,LA collected other,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Household,,LA collected other,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Household,,LA collected other,estimate,Kilotonnes,Thousands,140.0
2017,Kilotonnes,Food and inedible waste,Household,,LA collected other,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Household,,LA collected other,estimate,Kilotonnes,Thousands,166.0
2007,Kilotonnes,Food and inedible waste,Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,1904.0
2009,Kilotonnes,Food and inedible waste,Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,1636.0
2017,Kilotonnes,Food and inedible waste,Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,1532.0
2007,Kilotonnes,Food and inedible waste,Household,,Home composted,estimate,Kilotonnes,Thousands,482.0
2009,Kilotonnes,Food and inedible waste,Household,,Home composted,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Household,,Home composted,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Household,,Home composted,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Household,,Home composted,estimate,Kilotonnes,Thousands,518.0
2017,Kilotonnes,Food and inedible waste,Household,,Home composted,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Household,,Home composted,estimate,Kilotonnes,Thousands,528.0
2007,Kilotonnes,Food and inedible waste,Supply chain,,,estimate,Kilotonnes,Thousands,3110.0
2009,Kilotonnes,Food and inedible waste,Supply chain,,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Supply chain,,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Supply chain,,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Supply chain,,,estimate,Kilotonnes,Thousands,2951.0
2017,Kilotonnes,Food and inedible waste,Supply chain,,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Supply chain,,,estimate,Kilotonnes,Thousands,2880.0
2007,Kilotonnes,Food and inedible waste,Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2009,Kilotonnes,Food and inedible waste,Supply chain,Retail,,estimate,Kilotonnes,Thousands,290.0
2011,Kilotonnes,Food and inedible waste,Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Supply chain,Retail,,estimate,Kilotonnes,Thousands,240.0
2015,Kilotonnes,Food and inedible waste,Supply chain,Retail,,estimate,Kilotonnes,Thousands,261.0
2017,Kilotonnes,Food and inedible waste,Supply chain,Retail,,estimate,Kilotonnes,Thousands,278.0
2018,Kilotonnes,Food and inedible waste,Supply chain,Retail,,estimate,Kilotonnes,Thousands,277.0
2007,Kilotonnes,Food and inedible waste,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2009,Kilotonnes,Food and inedible waste,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1900.0
2012,Kilotonnes,Food and inedible waste,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1668.0
2017,Kilotonnes,Food and inedible waste,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1505.0
2007,Kilotonnes,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2009,Kilotonnes,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,920.0
2012,Kilotonnes,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,1022.0
2017,Kilotonnes,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,1098.0
2007,Kilotonnes,Food and inedible waste,,,,estimate,Kilotonnes,Thousands,11195.0
2009,Kilotonnes,Food and inedible waste,,,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,,,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,,,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,,,,estimate,Kilotonnes,Thousands,10001.0
2017,Kilotonnes,Food and inedible waste,,,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,,,,estimate,Kilotonnes,Thousands,9525.0
2007,Kilogrammes per person,Food and inedible waste,Household,,,estimate,Kg per person,Units,132.0
2009,Kilogrammes per person,Food and inedible waste,Household,,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Household,,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Household,,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Household,,,estimate,Kg per person,Units,108.3
2017,Kilogrammes per person,Food and inedible waste,Household,,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Household,,,estimate,Kg per person,Units,100.0
2007,Kilogrammes per person,Food and inedible waste,Household,,LA collected residual waste,estimate,Kg per person,Units,89.6
2009,Kilogrammes per person,Food and inedible waste,Household,,LA collected residual waste,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Household,,LA collected residual waste,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Household,,LA collected residual waste,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Household,,LA collected residual waste,estimate,Kg per person,Units,63.2
2017,Kilogrammes per person,Food and inedible waste,Household,,LA collected residual waste,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Household,,LA collected residual waste,estimate,Kg per person,Units,54.8
2007,Kilogrammes per person,Food and inedible waste,Household,,LA collected organics,estimate,Kg per person,Units,1.1
2009,Kilogrammes per person,Food and inedible waste,Household,,LA collected organics,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Household,,LA collected organics,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Household,,LA collected organics,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Household,,LA collected organics,estimate,Kg per person,Units,9.8
2017,Kilogrammes per person,Food and inedible waste,Household,,LA collected organics,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Household,,LA collected organics,estimate,Kg per person,Units,11.7
2007,Kilogrammes per person,Food and inedible waste,Household,,LA collected other,estimate,Kg per person,Units,2.4
2009,Kilogrammes per person,Food and inedible waste,Household,,LA collected other,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Household,,LA collected other,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Household,,LA collected other,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Household,,LA collected other,estimate,Kg per person,Units,2.2
2017,Kilogrammes per person,Food and inedible waste,Household,,LA collected other,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Household,,LA collected other,estimate,Kg per person,Units,2.5
2007,Kilogrammes per person,Food and inedible waste,Household,,Disposed to sewer,estimate,Kg per person,Units,31.1
2009,Kilogrammes per person,Food and inedible waste,Household,,Disposed to sewer,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Household,,Disposed to sewer,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Household,,Disposed to sewer,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Household,,Disposed to sewer,estimate,Kg per person,Units,25.1
2017,Kilogrammes per person,Food and inedible waste,Household,,Disposed to sewer,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Household,,Disposed to sewer,estimate,Kg per person,Units,23.1
2007,Kilogrammes per person,Food and inedible waste,Household,,Home composted,estimate,Kg per person,Units,7.9
2009,Kilogrammes per person,Food and inedible waste,Household,,Home composted,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Household,,Home composted,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Household,,Home composted,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Household,,Home composted,estimate,Kg per person,Units,8.0
2017,Kilogrammes per person,Food and inedible waste,Household,,Home composted,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Household,,Home composted,estimate,Kg per person,Units,7.9
2007,Kilogrammes per person,Food and inedible waste,Supply chain,,,estimate,Kg per person,Units,49.2
2009,Kilogrammes per person,Food and inedible waste,Supply chain,,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Supply chain,,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Supply chain,,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Supply chain,,,estimate,Kg per person,Units,45.3
2017,Kilogrammes per person,Food and inedible waste,Supply chain,,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Supply chain,,,estimate,Kg per person,Units,43.3
2007,Kilogrammes per person,Food and inedible waste,Supply chain,Retail,,estimate,Kg per person,Units,
2009,Kilogrammes per person,Food and inedible waste,Supply chain,Retail,,estimate,Kg per person,Units,4.7
2011,Kilogrammes per person,Food and inedible waste,Supply chain,Retail,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,Supply chain,Retail,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Supply chain,Retail,,estimate,Kg per person,Units,4.0
2017,Kilogrammes per person,Food and inedible waste,Supply chain,Retail,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Supply chain,Retail,,estimate,Kg per person,Units,4.2
2007,Kilogrammes per person,Food and inedible waste,Supply chain,Manufacture,,estimate,Kg per person,Units,
2009,Kilogrammes per person,Food and inedible waste,Supply chain,Manufacture,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Supply chain,Manufacture,,estimate,Kg per person,Units,30.0
2012,Kilogrammes per person,Food and inedible waste,Supply chain,Manufacture,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Supply chain,Manufacture,,estimate,Kg per person,Units,25.6
2017,Kilogrammes per person,Food and inedible waste,Supply chain,Manufacture,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Supply chain,Manufacture,,estimate,Kg per person,Units,22.7
2007,Kilogrammes per person,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2009,Kilogrammes per person,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,14.5
2012,Kilogrammes per person,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,15.7
2017,Kilogrammes per person,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,16.5
2007,Kilogrammes per person,Food and inedible waste,,,,estimate,Kg per person,Units,181.2
2009,Kilogrammes per person,Food and inedible waste,,,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food and inedible waste,,,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food and inedible waste,,,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food and inedible waste,,,,estimate,Kg per person,Units,153.6
2017,Kilogrammes per person,Food and inedible waste,,,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food and inedible waste,,,,estimate,Kg per person,Units,143.4
2007,Kilotonnes,Food,Household,,,estimate,Kilotonnes,Thousands,6125.0
2009,Kilotonnes,Food,Household,,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food,Household,,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food,Household,,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food,Household,,,estimate,Kilotonnes,Thousands,4995.0
2017,Kilotonnes,Food,Household,,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food,Household,,,estimate,Kilotonnes,Thousands,4549.0
2007,Kilotonnes,Food,Supply chain,,,estimate,Kilotonnes,Thousands,2040.0
2009,Kilotonnes,Food,Supply chain,,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food,Supply chain,,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food,Supply chain,,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food,Supply chain,,,estimate,Kilotonnes,Thousands,1914.0
2017,Kilotonnes,Food,Supply chain,,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food,Supply chain,,,estimate,Kilotonnes,Thousands,1859.0
2007,Kilotonnes,Food,Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2009,Kilotonnes,Food,Supply chain,Retail,,estimate,Kilotonnes,Thousands,290.0
2011,Kilotonnes,Food,Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food,Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food,Supply chain,Retail,,estimate,Kilotonnes,Thousands,261.0
2017,Kilotonnes,Food,Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food,Supply chain,Retail,,estimate,Kilotonnes,Thousands,277.0
2007,Kilotonnes,Food,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2009,Kilotonnes,Food,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1070.0
2012,Kilotonnes,Food,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,898.0
2017,Kilotonnes,Food,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food,Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,770.0
2007,Kilotonnes,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2009,Kilotonnes,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,680.0
2012,Kilotonnes,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,755.0
2017,Kilotonnes,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,812.0
2007,Kilotonnes,Food,,,,estimate,Kilotonnes,Thousands,8165.0
2009,Kilotonnes,Food,,,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food,,,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food,,,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food,,,,estimate,Kilotonnes,Thousands,6910.0
2017,Kilotonnes,Food,,,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food,,,,estimate,Kilotonnes,Thousands,6408.0
2007,Kilogrammes per person,Food,Household,,,estimate,Kg per person,Units,100.0
2009,Kilogrammes per person,Food,Household,,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food,Household,,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food,Household,,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food,Household,,,estimate,Kg per person,Units,76.7
2017,Kilogrammes per person,Food,Household,,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food,Household,,,estimate,Kg per person,Units,68.5
2007,Kilogrammes per person,Food,Supply chain,,,estimate,Kg per person,Units,32.3
2009,Kilogrammes per person,Food,Supply chain,,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food,Supply chain,,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food,Supply chain,,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food,Supply chain,,,estimate,Kg per person,Units,29.4
2017,Kilogrammes per person,Food,Supply chain,,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food,Supply chain,,,estimate,Kg per person,Units,28.0
2007,Kilogrammes per person,Food,Supply chain,Retail,,estimate,Kg per person,Units,
2009,Kilogrammes per person,Food,Supply chain,Retail,,estimate,Kg per person,Units,4.7
2011,Kilogrammes per person,Food,Supply chain,Retail,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food,Supply chain,Retail,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food,Supply chain,Retail,,estimate,Kg per person,Units,4.0
2017,Kilogrammes per person,Food,Supply chain,Retail,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food,Supply chain,Retail,,estimate,Kg per person,Units,4.2
2007,Kilogrammes per person,Food,Supply chain,Manufacture,,estimate,Kg per person,Units,
2009,Kilogrammes per person,Food,Supply chain,Manufacture,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food,Supply chain,Manufacture,,estimate,Kg per person,Units,16.9
2012,Kilogrammes per person,Food,Supply chain,Manufacture,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food,Supply chain,Manufacture,,estimate,Kg per person,Units,13.8
2017,Kilogrammes per person,Food,Supply chain,Manufacture,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food,Supply chain,Manufacture,,estimate,Kg per person,Units,11.6
2007,Kilogrammes per person,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2009,Kilogrammes per person,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,10.7
2012,Kilogrammes per person,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,11.6
2017,Kilogrammes per person,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food,Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,12.2
2007,Kilogrammes per person,Food,,,,estimate,Kg per person,Units,132.3
2009,Kilogrammes per person,Food,,,,estimate,Kg per person,Units,
2011,Kilogrammes per person,Food,,,,estimate,Kg per person,Units,
2012,Kilogrammes per person,Food,,,,estimate,Kg per person,Units,
2015,Kilogrammes per person,Food,,,,estimate,Kg per person,Units,106.1
2017,Kilogrammes per person,Food,,,,estimate,Kg per person,Units,
2018,Kilogrammes per person,Food,,,,estimate,Kg per person,Units,96.4
