Year,Units,Type of expenditure,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2009,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.4176002441355274
2010,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.22307379759239637
2011,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.15801507779872356
2012,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.21976296993956518
2013,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2014,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2015,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2016,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2017,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2018,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2000,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.143592460699554
2001,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,6.783617816723901
2002,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.329099126263145
2003,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.5716261966205374
2004,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.6863807414129015
2005,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.651293672088762
2006,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,2.8770071234696375
2007,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,2.919155695370611
2008,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,3.364400117754004
2009,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.513294946233969
2010,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,8.0147228706411
2011,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,4.076789007207068
2012,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,2.558668864296366
2013,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,2.636271033621035
2014,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,7.631957000965992
2015,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,7.064966978958685
2016,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,1.8583934645480982
2017,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,0.8631106507854307
2018,General government expenditure (GBP (£) per capita),Environmental protection,Pollution abatement,Undefined,Units,GBP (£) per capita,0.8880780786204987
2000,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,4.007736970184815
2001,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,4.73669074484462
2002,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,5.861970801321302
2003,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,5.483200780727304
2004,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,5.621313619258586
2005,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,6.786585073154422
2006,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,7.118537625499161
2007,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,10.225198999985324
2008,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.556575299480135
2009,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,7.693481420804523
2010,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,9.14602570128825
2011,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.153578014414135
2012,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,6.891138843104937
2013,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.033606995945759
2014,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,7.78676343100587
2015,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.677622485025342
2016,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.941614456473225
2017,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,8.449399002425796
2018,General government expenditure (GBP (£) per capita),Environmental protection,Protection of biodiversity and landscape,Undefined,Units,GBP (£) per capita,7.10462462896399
2000,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,4.041700842813499
2001,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,4.97352528208685
2002,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,6.182020931278499
2003,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,6.656974648161283
2004,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,7.639648776321759
2005,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.723244715981414
2006,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.926942103108647
2007,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,10.469820985630903
2008,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.168375285893134
2009,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,8.73748203114334
2010,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,12.428397294433513
2011,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,9.212279035665583
2012,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,10.50153049211208
2013,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,9.671526868905572
2014,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,9.288385802392687
2015,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,11.887574873291353
2016,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,10.251629521646475
2017,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,12.598387043043479
2018,General government expenditure (GBP (£) per capita),Environmental protection,Research and development environmental protection,Undefined,Units,GBP (£) per capita,7.089572458139912
2000,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,14.196898758790276
2001,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,12.213895420635055
2002,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,18.61344176856333
2003,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,24.98461517823756
2004,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,18.131655501881554
2005,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,26.070418268824913
2006,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,24.01889947079509
2007,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,27.250889200917822
2008,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,25.62120089674203
2009,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,34.45202014118101
2010,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,31.740214628860965
2011,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,29.058972807185263
2012,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,29.055804097009656
2013,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,24.069622514066612
2014,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,27.307854259034503
2015,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,25.57210873905698
2016,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,28.59184043407197
2017,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,27.119845185205374
2018,General government expenditure (GBP (£) per capita),Environmental protection,Environmental protection not elsewhere classified,Undefined,Units,GBP (£) per capita,26.672446700263112
2000,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,206.68714688186176
2001,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,167.83110314144096
2002,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,180.92939188790834
2003,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,198.1833334171743
2004,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,195.07793108970083
2005,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,211.42695399854006
2006,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,216.79481678396635
2007,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,225.1174593234408
2008,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,242.15593347545766
2009,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,248.58457609559835
2010,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,248.07399676542994
2011,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,238.8713931083304
2012,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,234.50278628051174
2013,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,206.440300940478
2014,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,205.13400044584253
2015,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,201.67409000153586
2016,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,193.33385124626608
2017,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,203.815251922314
2018,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",,Undefined,Units,GBP (£) per capita,191.93023017779623
2000,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,59.86132550805708
2001,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,53.20318711620117
2002,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,57.7100918543873
2003,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,61.92495560619552
2004,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,62.70183351570632
2005,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,66.65750753559233
2006,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,71.25113641781377
2007,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,79.97508117372891
2008,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,92.42395323483836
2009,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,98.90701166871452
2010,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,97.08490348074794
2011,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,93.38691097904562
2012,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,91.68825052978572
2013,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,68.34025679463761
2014,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,62.851410596190526
2015,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,57.50268775917678
2016,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,53.36026480583597
2017,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,55.22393935814852
2018,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Recreational and sporting services,Undefined,Units,GBP (£) per capita,54.51896272480417
2000,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,77.93010574651743
2001,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,71.84544854769679
2002,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,74.06633796956828
2003,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,83.40501738023734
2004,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,81.58410953054525
2005,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,88.98702769092236
2006,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,88.84197997274241
2007,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,88.19437989142045
2008,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,90.40207816407275
2009,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,89.01309819227279
2010,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,91.01410941769771
2011,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,86.10241589252446
2012,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,84.45176987677577
2013,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,83.17513107258793
2014,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,82.35702078121517
2015,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,82.69083090155122
2016,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,80.47453010825903
2017,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,81.87437348766358
2018,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Cultural services,Undefined,Units,GBP (£) per capita,74.64371511659411
2000,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,49.89292889153807
2001,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,48.229661834114324
2002,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,54.459056323769445
2003,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,58.11857463608818
2004,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,56.58010622114281
2005,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,59.85436981591802
2006,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,60.41714959286239
2007,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,60.29116539544775
2008,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,62.322277181279695
2009,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,64.06951437910071
2010,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,63.60789999920331
2011,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,64.89679245193577
2012,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,65.69343065693431
2013,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,62.44374525198228
2014,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,68.59472915067
2015,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,72.30840116725543
2016,General government expenditure (GBP (£) per capita),"Recreation, culture and religion",Broadcasting and publishing services,Undefined,Units,GBP (£) per capita,71.41105378525806
