Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.518502478
2016,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.235975267
2017,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.183864916
2018,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.575956906
2019,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.703288064
2020,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.758538979
2014,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.402644664
2015,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.402824256
2016,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.156372864
2017,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.25961976
2018,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.212675079
2019,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.344530577
2020,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Undefined,N92000002,4.757311623
2014,Growth rate (%),Woodland area net change,,Percentage (%),Units,Undefined,,0.548656681
2015,Growth rate (%),Woodland area net change,,Percentage (%),Units,Undefined,,0.353790551
2016,Growth rate (%),Woodland area net change,,Percentage (%),Units,Undefined,,0.139370338
2017,Growth rate (%),Woodland area net change,,Percentage (%),Units,Undefined,,0.154967864
2018,Growth rate (%),Woodland area net change,,Percentage (%),Units,Undefined,,0.338243707
2019,Growth rate (%),Woodland area net change,,Percentage (%),Units,Undefined,,0.400271466
2020,Growth rate (%),Woodland area net change,,Percentage (%),Units,Undefined,,0.590985584
2004,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1271.745549
2005,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1276.695301
2006,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1280.081327
2007,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1283.020345
2008,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1285.41439
2009,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1287.737979
2010,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1289.853
2011,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1292.385
2012,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1297.68432
2013,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1298.22419
2014,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1301.913137
2015,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1305.03824
2016,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1305.280812
2017,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1306.174249
2018,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1307.48345
2019,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1308.986095
2020,000s hectares,Woodland area net change,England,Hectares,Thousands,Undefined,E92000001,1311.325359
2004,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,301.2878792
2005,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,301.8041439
2006,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,302.2763121
2007,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,302.7707269
2008,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,302.9311792
2009,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,303.0879561
2010,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,303.26928
2011,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,303.566
2012,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,304.56394
2013,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,306.4063936
2014,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,305.8319743
2015,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,305.99435
2016,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,306.5950179
2017,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,307.6674916
2018,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,308.5406218
2019,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,309.1878055
2020,000s hectares,Woodland area net change,Wales,Hectares,Thousands,Undefined,W92000004,309.2638055
2004,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1352.206369
2005,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1357.784282
2006,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1361.700956
2007,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1368.168325
2008,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1372.271614
2009,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1375.642359
2010,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1378.304
2011,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1383.406
2012,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1403.02642
2013,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1410.663364
2014,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1424.254545
2015,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1431.63934
2016,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1435.017655
2017,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1437.656149
2018,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1445.936429
2019,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1456.105527
2020,000s hectares,Woodland area net change,Scotland,Hectares,Thousands,Undefined,S92000003,1467.150655
2004,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2005,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2006,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2007,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2008,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2009,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2010,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2011,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2012,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2013,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,111.016
2014,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,111.463
2015,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,111.912
2016,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,112.087
2017,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,112.378
2018,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,112.617
2019,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,113.005
2020,000s hectares,Woodland area net change,Northern Ireland,Hectares,Thousands,Undefined,N92000002,118.381
2004,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2005,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2006,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2007,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2008,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2009,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2010,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2011,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2012,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,
2013,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3126.309948
2014,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3143.462656
2015,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3154.58393
2016,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3158.980484
2017,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3163.875889
2018,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3174.5775
2019,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3187.284428
2020,000s hectares,Woodland area net change,,Hectares,Thousands,Undefined,,3206.120819
1990,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,74
2000,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,89
2010,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,104
2015,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,109
2016,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,110
2017,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,112
2018,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,113
2019,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,114
2020,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,115
2000,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2010,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2015,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2016,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2017,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2018,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2019,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2020,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2000,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,33.76
2010,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,52.87
2015,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,57.34
2016,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,57.27
2017,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,59.3
2018,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,59.94
2019,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,60.51
2020,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,61.05
2004,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,23.45300892
2005,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,26.92108544
2006,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,27.62148612
2007,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,28.35983628
2008,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,26.8602935
2009,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,27.37343129
2010,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,27.69073142
2011,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,25.9379852
2012,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,27.35439618
2013,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,27.32495474
2014,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,26.8252394
2015,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,27.25397826
2016,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,25.83258647
2017,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,25.7912875
2018,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,25.40679591
2019,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,24.82268875
2020,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Undefined,E92000001,24.6539877
2004,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,42.03719721
2005,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,43.48535387
2006,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,43.3814079
2007,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,43.79150104
2008,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,42.90168208
2009,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,44.12510867
2010,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,44.01157941
2011,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,44.01151644
2012,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,45.40751935
2013,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,45.50850391
2014,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,46.1432626
2015,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,46.19752946
2016,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,46.06095029
2017,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,47.16242115
2018,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,46.91851152
2019,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,47.32701147
2020,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Undefined,W92000004,47.17983698
2004,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,49.54191195
2005,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,52.93176868
2006,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,53.19595956
2007,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,55.864005
2008,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,56.11222164
2009,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,56.75561363
2010,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,57.4956831
2011,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,57.23374049
2012,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,57.5710292
2013,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,56.97308102
2014,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,57.69817157
2015,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,56.81093047
2016,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,56.19051144
2017,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,58.47750072
2018,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,57.6278978
2019,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,59.30814264
2020,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Undefined,S92000003,58.56970122
2004,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2005,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2006,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2007,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2008,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2009,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2010,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2011,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2012,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2013,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.26450241
2014,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.17087285
2015,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.1894703
2016,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.22382614
2017,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.1473776
2018,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.02387729
2019,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,57.97301889
2020,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Undefined,N92000002,55.45636947
2004,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2005,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2006,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2007,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2008,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2009,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2010,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2011,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2012,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,
2013,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,43.5836965
2014,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,43.80424227
2015,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,43.60274853
2016,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,42.73573323
2017,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,43.87127963
2018,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,43.33048527
2019,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,43.93572262
2020,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Undefined,,43.4843161
2004,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,298.2625969
2005,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,343.7002329
2006,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,353.577486
2007,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,363.8624693
2008,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,345.2660778
2009,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,352.4980708
2010,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,357.16973
2011,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,335.21863
2012,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,354.97371
2013,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,354.7391724
2014,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,349.2413157
2015,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,355.6748382
2016,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,337.1877943
2017,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,336.8791557
2018,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,332.1896516
2019,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,324.9255443
2020,Percentage (%),Woodland area under certification scheme,England,Hectares,Thousands,Undefined,E92000001,323.2939927
2004,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,126.6529799
2005,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,131.2405999
2006,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,131.13172
2007,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,132.587846
2008,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,129.9625714
2009,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,133.73789
2010,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,133.4736
2011,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,133.604
2012,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,138.29493
2013,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,139.4409656
2014,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,141.120851
2015,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,141.36183
2016,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,141.2205788
2017,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,145.1034381
2018,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,144.7626672
2019,Percentage (%),Woodland area under certification scheme,Wales,Hectares,Thousands,Undefined,W92000004,146.3293482
