Year,Country,Region,Ethnicity,Sex,Health Board (Wales),Local Authority County/ Unitary Authority,IMD Deciles (England),IMD Quintiles,BMI,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015/16,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.824030985438
2015/16,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.967175521248117
2016/17,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.61327318748123
2016/17,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0159416167879
2016/17,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.956211001987737
2017/18,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.53352936840122
2017/18,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.8416620934252
2017/18,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.983069450473842
2018/19,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.68013355369246
2018/19,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.9055622837949
2018/19,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.957491652894221
2018/19,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.27423975663878
2018/19,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.6041629770078
2018/19,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.526622842200669
2018/19,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.0745212715782
2018/19,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.18124076345
2018/19,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.08794767789202
2018/19,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.78663314332949
2018/19,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,8.4623465187966
2018/19,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.52339458230726
2018/19,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,15.3707191451743
2018/19,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,14.3790598454856
2018/19,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.05315755083215
2018/19,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,6.39810426540284
2018/19,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,8.09636650868878
2018/19,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.829383886255924
2018/19,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.6726794438181
2018/19,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.4163848177377
2018/19,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.09733183013905
2018/19,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.48739802751735
2018/19,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.8223548033605
2018/19,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0580786557896
2017/18,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.08756316310074
2017/18,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.3725581407237
2017/18,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.578659625967095
2017/18,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.77875078780642
2017/18,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,11.7059740604372
2017/18,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.12780707864796
2017/18,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.89487337019592
2017/18,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,8.58420369991126
2017/18,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.57703597515189
2017/18,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,14.7888138862102
2017/18,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,14.480231436837
2017/18,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.13789778206365
2017/18,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,7.47800586510264
2017/18,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,10.791788856305
2017/18,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.821114369501466
2017/18,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.3789720046809
2017/18,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0974885228193
2017/18,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.27824286614457
2017/18,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.61455127279192
2017/18,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.2601473349704
2017/18,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.928899209991222
2016/17,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.09566541281606
2016/17,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.5797724223947
2016/17,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.56658839398846
2016/17,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.2401506827814
2016/17,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.0012556898446
2016/17,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.02966567257887
2016/17,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.91173664122137
2016/17,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,8.80759269356598
2016/17,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.59528353326063
2016/17,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,14.7595782977629
2016/17,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,14.5795834404731
2016/17,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.06527568600081
2016/17,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,5.762473647224175
2016/17,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,10.014054813773717
2016/17,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1243851018973998
2016/17,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.371741229481815
2016/17,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.479884132603798
2016/17,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1425812681042806
2016/17,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.964741798168294
2016/17,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.279872726490948
2016/17,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8932794427484199
2015/16,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.81603883862175
2015/16,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.4094718882594
2015/16,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.593671811656561
2015/16,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.74573343467146
2015/16,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.2849443791888
2015/16,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.988046707662544
2015/16,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.59536291811268
2015/16,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,8.58561618548328
2015/16,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.53872849442516
2015/16,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,15.2044779529358
2015/16,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,14.2829944406367
2015/16,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.970984692711903
2015/16,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,7.29987557030278
2015/16,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,9.78846951472418
2015/16,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.995437577768561
2015/16,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,11.18603362276
2015/16,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.6270090522815
2015/16,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.988361352300018
2015/16,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.33472449942863
2015/16,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.6347692154817
2015/16,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.06523575296865
2014/15,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.549792662134
2014/15,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.379870334898
2014/15,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.574915275643589
2014/15,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.90464927193436
2014/15,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.4916845295292
2014/15,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0274225737305
2014/15,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.0118471906621
2014/15,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,8.69700324341121
2014/15,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.60465342111907
2014/15,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,14.6628450746719
2014/15,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,14.6213606878866
2014/15,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.10122190375622
2014/15,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,7.6
2014/15,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,9.73333333333333
2014/15,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.888888888888889
2014/15,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,11.0115358947469
2014/15,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.1937267613691
2014/15,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.15358947468777
2014/15,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.78362801255564
2014/15,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.5104186986824
2014/15,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.00551526006845
2013/14,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.8096
2013/14,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.5123
2013/14,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.5736
2013/14,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.0103
2013/14,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.13
2013/14,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0885
2013/14,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.4431
2013/14,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,8.6735
2013/14,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.65
2013/14,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,15.5777
2013/14,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,15.21
2013/14,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0508
2013/14,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,7.708900000000001
2013/14,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,11.6279
2013/14,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8613
2013/14,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,11.2777
2013/14,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.0161
2013/14,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.488
2013/14,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.5623
2013/14,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.484499999999999
2013/14,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8116
2012/13,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.56280078784324
2012/13,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.477856636093774
2012/13,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.5304367202567406
2012/13,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.658181818181818
2012/13,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.054545454545455
2012/13,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.021818181818182
2012/13,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.28047445582931
2012/13,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,9.065623485922442
2012/13,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.278482602688104
2012/13,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,15.513913745306523
2012/13,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,14.35940625328982
2012/13,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8878127522195319
2012/13,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.088589311506981
2012/13,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,9.91815117958594
2012/13,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0110736639383726
2012/13,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,11.52972749793559
2012/13,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.51156069364162
2012/13,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0425268373245251
2012/13,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.401269049297683
2012/13,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.009111123162862
2012/13,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.81349313954119
2011/12,England,,White,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.882514504883716
2011/12,England,,White,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.588814310401803
2011/12,England,,White,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.5363150281971689
2011/12,England,,Mixed,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.929445529557142
2011/12,England,,Mixed,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.265316697891338
2011/12,England,,Mixed,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0403794794116474
2011/12,England,,Asian,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.411406223302262
2011/12,England,,Asian,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,9.167884874603686
2011/12,England,,Asian,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,3.4097165530727316
2011/12,England,,Black,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,15.649820763337315
2011/12,England,,Black,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,14.553314121037463
2011/12,England,,Black,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.9735010894777536
2011/12,England,,Chinese,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,7.322068612391193
2011/12,England,,Chinese,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,9.575012800819252
2011/12,England,,Chinese,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.6144393241167435
2011/12,England,,Other,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,11.927940024616762
2011/12,England,,Other,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.203535862146135
2011/12,England,,Other,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1637014658162694
2011/12,England,,Not stated,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.120344705941642
2011/12,England,,Not stated,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.046162374640932
2011/12,England,,Not stated,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.9096406793327622
2018/19,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.97539531526803
2018/19,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0214552850863
2018/19,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.22465717472607
2018/19,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.37295216251638
2018/19,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.7849907164701
2018/19,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.679540738313674
2017/18,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.94360697012711
2017/18,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0015479180181
2017/18,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.26531057915256
2017/18,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.10653438065334
2017/18,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.6751803216195
2017/18,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.689184715548288
2016/17,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,10.0106429989606
2016/17,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.142858921136
2016/17,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.21896569966826
2016/17,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.19872346365995
2016/17,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.8835371614273
2016/17,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.6820963505735
2015/16,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.6413377285662
2015/16,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0827048839051
2015/16,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.21369784965424
2015/16,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.97122812523497
2015/16,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.5539002710133
2015/16,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.709734576921694
2014/15,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.47503036868708
2014/15,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0984394180751
2014/15,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.21570902470841
2014/15,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.66838335504308
2014/15,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.4987861517494
2014/15,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.700850865766801
2013/14,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.9198
2013/14,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.4902
2013/14,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1789
2013/14,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.0198
2013/14,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.6162
2013/14,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.7079
2012/13,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.738726830194082
2012/13,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.456217515657412
2012/13,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0921065336605214
2012/13,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,8.772851768456293
2012/13,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.451059890513362
2012/13,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.6521867745988217
2011/12,England,,,Males,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.933564233914732
2011/12,England,,,Males,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.584074773074503
2011/12,England,,,Males,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1268501427573954
2011/12,England,,,Females,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.0212042263714
2011/12,England,,,Females,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.53365175857577
2011/12,England,,,Females,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.6846142712404111
2001/02,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.68314404771631
2001/02,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.3784622926709
2001/02,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,10.0661818776043
2002/03,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.71105107423131
2002/03,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.7299626913675
2002/03,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,9.9704103949569
2003/04,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.65125495376486
2003/04,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.6576197910411
2003/04,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,10.3338537288339
2004/05,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.55724650504335
2004/05,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.4181560785701
2004/05,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,10.5069899132896
2005/06,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.5068919866054
2005/06,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.8027412195311
2005/06,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,10.5716065726968
2006/07,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.54676258992805
2006/07,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.322142286171
2006/07,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,9.99200639488409
2007/08,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.68893639764831
2007/08,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,11.922323178336
2007/08,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,9.31765544272225
2008/09,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.79118410688759
2008/09,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,11.6135243151783
2008/09,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,9.30598908953003
2009/10,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.50936811568914
2009/10,Scotland,,,,,,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.0182345627849
2009/10,Scotland,,,,,,,,Obese,Undefined,Units,Percentage (%),S92000003,9.58841363666106
2010/11,Scotland,,,,,,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.80699450362371
